Category,Product Name,Chemistry Type,Confidence Level,Score,Reasoning
3. Transportation,T-R679 (R221),Acrylic (incl. PSA),Medium,5,Product name pattern 'T' suggests Acrylic (incl. PSA)
3. Transportation,T-R785 (R519),Acrylic (incl. PSA),Medium,5,Product name pattern 'T' suggests Acrylic (incl. PSA)
3. Transportation,T-S596 (S228),Acrylic (incl. PSA),Medium,5,Product name pattern 'T' suggests Acrylic (incl. PSA)
3. Transportation,T-T1420,Acrylic (incl. PSA),Medium,5,Product name pattern 'T' suggests Acrylic (incl. PSA)
3. Transportation,T-T415 (T215),Acrylic (incl. PSA),Medium,5,Product name pattern 'T' suggests Acrylic (incl. PSA)
3. Transportation,T-T420 (T220),Acrylic (incl. PSA),Medium,5,Product name pattern 'T' suggests Acrylic (incl. PSA)
3. Transportation,T-T430,Acrylic (incl. PSA),Medium,5,Product name pattern 'T' suggests Acrylic (incl. PSA)
3. Transportation,TC452 (IC932),Acrylic (incl. PSA),Medium,5,Product name pattern 'T' suggests Acrylic (incl. PSA)
3. Transportation,TC453 (IC933),Acrylic (incl. PSA),Medium,5,Product name pattern 'T' suggests Acrylic (incl. PSA)
3. Transportation,TC454 (IC934),Acrylic (incl. PSA),Medium,5,Product name pattern 'T' suggests Acrylic (incl. PSA)
3. Transportation,TC456 (IC936),Acrylic (incl. PSA),Medium,5,Product name pattern 'T' suggests Acrylic (incl. PSA)
3. Transportation,TC466 (IC946),Acrylic (incl. PSA),Medium,5,Product name pattern 'T' suggests Acrylic (incl. PSA)
3. Transportation,TC467 (IC947),Acrylic (incl. PSA),Medium,5,Product name pattern 'T' suggests Acrylic (incl. PSA)
3. Transportation,TC471 - ONHOLD,Acrylic (incl. PSA),Medium,5,Product name pattern 'T' suggests Acrylic (incl. PSA)
3. Transportation,tc452,Unknown,Low,0,No chemistry indicators found in product files
3. Transportation,tc453,Unknown,Low,0,No chemistry indicators found in product files
3. Transportation,tc454,Unknown,Low,0,No chemistry indicators found in product files
3. Transportation,tc456,Unknown,Low,0,No chemistry indicators found in product files
3. Transportation,tc466,Unknown,Low,0,No chemistry indicators found in product files
3. Transportation,tc467,Unknown,Low,0,No chemistry indicators found in product files
4. Composites,TAC-734G,Acrylic (incl. PSA),High,10,Product name pattern 'T' suggests Acrylic (incl. PSA); Product name pattern 'TA' suggests Acrylic (incl. PSA)
4. Composites,TAC-735,Acrylic (incl. PSA),High,10,Product name pattern 'T' suggests Acrylic (incl. PSA); Product name pattern 'TA' suggests Acrylic (incl. PSA)
4. Composites,TAC-738R,Acrylic (incl. PSA),High,10,Product name pattern 'T' suggests Acrylic (incl. PSA); Product name pattern 'TA' suggests Acrylic (incl. PSA)
4. Composites,TAC-739R,Acrylic (incl. PSA),High,10,Product name pattern 'T' suggests Acrylic (incl. PSA); Product name pattern 'TA' suggests Acrylic (incl. PSA)
4. Composites,TAC-OS75,Acrylic (incl. PSA),High,10,Product name pattern 'T' suggests Acrylic (incl. PSA); Product name pattern 'TA' suggests Acrylic (incl. PSA)
4. Composites,TAC850 Series,Acrylic (incl. PSA),High,10,Product name pattern 'T' suggests Acrylic (incl. PSA); Product name pattern 'TA' suggests Acrylic (incl. PSA)
4. Composites,tac850,Unknown,Low,0,No chemistry indicators found in product files
6. Insulation,R-A2000 (A1000),Epoxy,Medium,5,Product name pattern 'R' suggests Epoxy; Product name pattern 'R' suggests Modified Epoxies
6. Insulation,R-C661 (C331),Epoxy,Medium,5,Product name pattern 'R' suggests Epoxy; Product name pattern 'R' suggests Modified Epoxies
6. Insulation,R-OS8 (OS2),Epoxy,Medium,5,Product name pattern 'R' suggests Epoxy; Product name pattern 'R' suggests Modified Epoxies
6. Insulation,R-OS84 (OS35),Epoxy,Medium,5,Product name pattern 'R' suggests Epoxy; Product name pattern 'R' suggests Modified Epoxies
6. Insulation,R-R820 (R160),Epoxy,Medium,5,Product name pattern 'R' suggests Epoxy; Product name pattern 'R' suggests Modified Epoxies
6. Insulation,R-T600 (T305),Epoxy,Medium,5,Product name pattern 'R' suggests Epoxy; Product name pattern 'R' suggests Modified Epoxies
6. Insulation,R-T620 (T310),Epoxy,Medium,5,Product name pattern 'R' suggests Epoxy; Product name pattern 'R' suggests Modified Epoxies
6. Insulation,R-T860 (T715),Epoxy,Medium,5,Product name pattern 'R' suggests Epoxy; Product name pattern 'R' suggests Modified Epoxies
6. Insulation,RC826 (IC936),Epoxy,Medium,5,Product name pattern 'R' suggests Epoxy; Product name pattern 'R' suggests Modified Epoxies
6. Insulation,RC862 (IC932),Epoxy,Medium,5,Product name pattern 'R' suggests Epoxy; Product name pattern 'R' suggests Modified Epoxies
6. Insulation,RC863 (IC933),Epoxy,Medium,5,Product name pattern 'R' suggests Epoxy; Product name pattern 'R' suggests Modified Epoxies
6. Insulation,RC864 (IC934),Epoxy,Medium,5,Product name pattern 'R' suggests Epoxy; Product name pattern 'R' suggests Modified Epoxies
6. Insulation,RC886 (IC946),Epoxy,Medium,5,Product name pattern 'R' suggests Epoxy; Product name pattern 'R' suggests Modified Epoxies
6. Insulation,RC887 (IC947),Epoxy,Medium,5,Product name pattern 'R' suggests Epoxy; Product name pattern 'R' suggests Modified Epoxies
6. Insulation,rc826,Unknown,Low,0,No chemistry indicators found in product files
6. Insulation,rc862,Unknown,Low,0,No chemistry indicators found in product files
6. Insulation,rc863,Unknown,Low,0,No chemistry indicators found in product files
6. Insulation,rc864,Unknown,Low,0,No chemistry indicators found in product files
6. Insulation,rc886,Unknown,Low,0,No chemistry indicators found in product files
6. Insulation,rc887,Unknown,Low,0,No chemistry indicators found in product files
7. Construction,C-C360 (C130),Unknown,Low,0,No chemistry indicators found in product files
7. Construction,C-C551 (C331),Unknown,Low,0,No chemistry indicators found in product files
7. Construction,C-OA5 (OA4),Unknown,Low,0,No chemistry indicators found in product files
7. Construction,C-OA52 (OA12),Unknown,Low,0,No chemistry indicators found in product files
7. Construction,C-OA98 (OS24),Unknown,Low,0,No chemistry indicators found in product files
7. Construction,C-OS55 (OS35),Unknown,Low,0,No chemistry indicators found in product files
7. Construction,C-OS9 (OS2),Unknown,Low,0,No chemistry indicators found in product files
7. Construction,C-OSA (OSA),Unknown,Low,0,No chemistry indicators found in product files
7. Construction,C-R329 (R519),Unknown,Low,0,No chemistry indicators found in product files
7. Construction,C-R552 (R221),Unknown,Low,0,No chemistry indicators found in product files
7. Construction,C-R560 (R160),Unknown,Low,0,No chemistry indicators found in product files
7. Construction,C-T500 (T305),Unknown,Low,0,No chemistry indicators found in product files
7. Construction,C-T5100 (T715),Unknown,Low,0,No chemistry indicators found in product files
7. Construction,C-T550 (T205),Unknown,Low,0,No chemistry indicators found in product files
7. Construction,C-T553 (T215),Unknown,Low,0,No chemistry indicators found in product files
7. Construction,C-T557 (T220),Unknown,Low,0,No chemistry indicators found in product files
7. Construction,C-T564 (T532),Unknown,Low,0,No chemistry indicators found in product files
7. Construction,C-T731 (T465),Unknown,Low,0,No chemistry indicators found in product files
7. Construction,C-W6106 (W700),Unknown,Low,0,No chemistry indicators found in product files
7. Construction,CC501 (IC946),Unknown,Low,0,No chemistry indicators found in product files
7. Construction,CC503 (IC936),Unknown,Low,0,No chemistry indicators found in product files
7. Construction,CC507 (IC947),Unknown,Low,0,No chemistry indicators found in product files
7. Construction,CC513 (IC932),Unknown,Low,0,No chemistry indicators found in product files
7. Construction,CC515 (IC934),Unknown,Low,0,No chemistry indicators found in product files
7. Construction,CC519 (IC933),Unknown,Low,0,No chemistry indicators found in product files
7. Construction,ca1000,Unknown,Low,0,No chemistry indicators found in product files
7. Construction,ca1500,Unknown,Low,0,No chemistry indicators found in product files
7. Construction,ca2400,Unknown,Low,0,No chemistry indicators found in product files
7. Construction,cc501,Unknown,Low,0,No chemistry indicators found in product files
7. Construction,cc507,Unknown,Low,0,No chemistry indicators found in product files
7. Construction,cc513,Unknown,Low,0,No chemistry indicators found in product files
7. Construction,cc515,Unknown,Low,0,No chemistry indicators found in product files
7. Construction,cc519,Unknown,Low,0,No chemistry indicators found in product files
7. Construction,ic932,Unknown,Low,0,No chemistry indicators found in product files
7. Construction,ic947,Unknown,Low,0,No chemistry indicators found in product files
7. Construction,oa12,Unknown,Low,0,No chemistry indicators found in product files
7. Construction,oa13,Unknown,Low,0,No chemistry indicators found in product files
7. Construction,oa23,Unknown,Low,0,No chemistry indicators found in product files
7. Construction,os10,Unknown,Low,0,No chemistry indicators found in product files
7. Construction,os2,Unknown,Low,0,No chemistry indicators found in product files
7. Construction,os20,Unknown,Low,0,No chemistry indicators found in product files
7. Construction,os25,Unknown,Low,0,No chemistry indicators found in product files
7. Construction,os35,Unknown,Low,0,No chemistry indicators found in product files
7. Construction,os37,Unknown,Low,0,No chemistry indicators found in product files
7. Construction,os61,Unknown,Low,0,No chemistry indicators found in product files
7. Construction,t215,Unknown,Low,0,No chemistry indicators found in product files
7. Construction,t220,Unknown,Low,0,No chemistry indicators found in product files
7. Construction,t305,Unknown,Low,0,No chemistry indicators found in product files
7. Construction,t464,Unknown,Low,0,No chemistry indicators found in product files
7. Construction,t600,Unknown,Low,0,No chemistry indicators found in product files
7. Construction,t715,Unknown,Low,0,No chemistry indicators found in product files
